N,P,K,temperature,humidity,ph,soil_type,ingredient,fertilizer,crop
88,54,41,28.090953757269027,71.11099338887152,5.6011462076484575,Loamy,Nitrogen Fertilizer,Urea,Soybean
78,30,45,27.62900350187713,79.1077132917817,6.352242475904461,Loamy,Nitrogen Fertilizer,Ammonium Nitrate,Barley
64,50,37,17.791521267694158,63.1298398444461,7.16472707932199,Clayey,Nitrogen Fertilizer,Calcium Nitrate,Rice
92,51,33,27.039649646935658,57.04920214987858,7.111297610726684,Sandy,Potassium Fertilizer,Ammonium Nitrate,Soybean
57,50,48,21.87280330106839,71.14613030130145,5.948637117707053,Sandy,Organic Compost,Potash,Barley
70,35,31,22.244533081280327,74.51384426046755,5.952158142021125,Clayey,Phosphorus Fertilizer,Ammonium Nitrate,Wheat
88,35,55,17.002199586239158,66.39290948233543,7.1346106244264735,Sandy,Organic Compost,Calcium Nitrate,Rice
68,52,54,16.20902270635687,79.01105825768438,7.360796840338651,Clayey,Potassium Fertilizer,Urea,Soybean
72,45,31,25.919089604606476,51.550061649738836,5.690721842546007,Loamy,Nitrogen Fertilizer,Superphosphate,Wheat
60,33,26,22.446917285329498,65.14386794913584,6.40011727885245,Loamy,Potassium Fertilizer,Potash,Rice
60,59,48,21.55276053922769,71.5536184196765,6.1749085579284575,Sandy,Complete Fertilizer,Calcium Nitrate,Corn
73,40,30,25.94262342978595,75.87921413447538,7.2413769109148785,Loamy,Complete Fertilizer,Potash,Wheat
85,59,52,26.482693484866644,55.3776683572337,5.667049829360037,Sandy,Organic Compost,Ammonium Nitrate,Barley
89,59,25,17.383622515040305,74.00010445291045,5.922251885116075,Sandy,Organic Compost,Potash,Soybean
73,59,34,24.15337724216462,66.58121227155635,7.0049366751729885,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Rice
52,53,51,17.030311234165282,61.8966104596989,5.602587697962431,Loamy,Phosphorus Fertilizer,Superphosphate,Wheat
71,52,30,26.270626290435686,53.951450857372805,6.485070761428578,Sandy,Complete Fertilizer,Superphosphate,Corn
51,38,42,24.854327344007093,75.95887276726737,6.38421406935944,Loamy,Nitrogen Fertilizer,Potash,Soybean
73,52,45,29.34921931625187,54.71819624539146,6.168802357977498,Clayey,Potassium Fertilizer,Urea,Soybean
93,32,53,16.034370245346317,59.29363577627298,6.289144630637848,Loamy,Phosphorus Fertilizer,Potash,Wheat
79,48,53,15.855820817268814,58.701365958873104,6.559881173860466,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Corn
87,37,48,19.232806120398003,76.14242102572562,5.8227347167767665,Clayey,Nitrogen Fertilizer,Superphosphate,Rice
51,34,23,18.925585256038588,70.18108982626694,6.6439917565671855,Loamy,Nitrogen Fertilizer,Superphosphate,Wheat
70,33,36,18.704681986079997,73.90044191574117,7.110864658599972,Loamy,Organic Compost,Superphosphate,Rice
82,53,54,28.59381870781555,57.51403696377497,7.020321859580318,Sandy,Potassium Fertilizer,Urea,Soybean
61,35,32,18.74319299774259,68.74622298820996,5.807799809387547,Loamy,Nitrogen Fertilizer,Urea,Rice
71,31,58,19.079245891929464,67.15237949431246,5.798498939482948,Loamy,Phosphorus Fertilizer,Calcium Nitrate,Corn
93,49,34,26.390973936269454,74.98491130364813,6.036348735489827,Clayey,Phosphorus Fertilizer,Potash,Barley
74,57,48,21.7460976367581,77.18261181443782,6.222149452682075,Sandy,Complete Fertilizer,Potash,Corn
98,40,48,26.650658354327717,50.3647031443216,6.316911162816965,Sandy,Nitrogen Fertilizer,Ammonium Nitrate,Rice
76,33,30,15.980492363465778,70.22059757176378,6.85939443366669,Sandy,Organic Compost,Superphosphate,Wheat
91,44,51,22.313567905100765,51.555073973591874,5.613360864331671,Loamy,Potassium Fertilizer,Urea,Soybean
77,35,21,15.504204002749239,66.46575995232068,5.569345408452133,Sandy,Organic Compost,Ammonium Nitrate,Barley
65,51,33,15.939798051830318,58.628981871310344,6.283821125887818,Clayey,Phosphorus Fertilizer,Ammonium Nitrate,Wheat
64,46,39,28.596561800166164,59.203297985664236,6.894327384275961,Sandy,Organic Compost,Urea,Wheat
96,59,41,17.088680566763927,60.5887551035707,5.886870685912966,Clayey,Phosphorus Fertilizer,Potash,Corn
93,53,30,22.986310234128258,68.6387734714883,6.783008962512503,Sandy,Phosphorus Fertilizer,Superphosphate,Rice
52,35,46,21.166434039010596,60.02149897006308,6.019656275880599,Sandy,Phosphorus Fertilizer,Potash,Corn
86,48,22,20.21014989388264,71.98097151770841,7.272172217627032,Clayey,Phosphorus Fertilizer,Ammonium Nitrate,Rice
56,59,36,28.497500185309086,62.13582156721609,7.291379888533233,Sandy,Phosphorus Fertilizer,Superphosphate,Corn
70,54,47,15.327350951632342,52.05059600929876,6.094574408562653,Sandy,Complete Fertilizer,Calcium Nitrate,Wheat
58,31,48,24.956845292633837,73.51279527452321,5.959987507926481,Sandy,Organic Compost,Ammonium Nitrate,Soybean
88,44,40,29.450916513203257,58.57274973778118,6.3226079441324625,Loamy,Complete Fertilizer,Potash,Rice
67,40,35,23.402522751927627,62.98300638797788,5.981063170360297,Clayey,Complete Fertilizer,Potash,Barley
53,37,56,29.052336930496377,70.56331649665705,6.844767686583407,Sandy,Nitrogen Fertilizer,Potash,Barley
74,55,39,15.783868189290356,59.973684714461356,7.152129369096571,Clayey,Nitrogen Fertilizer,Urea,Wheat
63,48,25,21.28189978611242,51.69756968440147,6.846184261822434,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Corn
99,42,38,18.902366864430768,61.217631410384406,7.148700894498699,Clayey,Potassium Fertilizer,Superphosphate,Corn
58,41,24,25.962314474710947,78.33345748082911,6.293984324414948,Sandy,Nitrogen Fertilizer,Potash,Wheat
75,34,22,29.7194563574587,69.25203191895675,5.8126339414177215,Sandy,Organic Compost,Potash,Barley
51,35,20,18.847950936663718,70.14437446001621,6.975901894795184,Clayey,Complete Fertilizer,Urea,Barley
69,55,57,24.812619022111114,68.9684646091292,6.220949010283108,Loamy,Organic Compost,Superphosphate,Corn
77,51,34,17.9714644913961,55.9697641687831,6.842541650458265,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Rice
96,33,53,23.47995381857415,62.5500159230684,6.041287883963531,Loamy,Potassium Fertilizer,Calcium Nitrate,Soybean
56,48,54,21.95898730032504,72.52819395089955,5.662459269613345,Clayey,Potassium Fertilizer,Urea,Rice
93,49,44,29.580079944473056,53.041186926594776,7.485163590975526,Clayey,Complete Fertilizer,Ammonium Nitrate,Barley
57,30,43,24.127909090446998,58.33558328269137,5.812403015861198,Clayey,Organic Compost,Calcium Nitrate,Rice
96,49,31,20.242595581302282,58.289573253975604,7.476841987926962,Sandy,Phosphorus Fertilizer,Potash,Soybean
84,46,37,16.711436773319,62.96056782783518,7.454559865132895,Loamy,Organic Compost,Potash,Rice
63,41,34,17.268702431024018,79.41106222826555,7.087636207816079,Loamy,Nitrogen Fertilizer,Superphosphate,Rice
66,44,35,18.379753949268526,52.025076400514656,6.818845924163995,Clayey,Phosphorus Fertilizer,Calcium Nitrate,Rice
85,30,46,18.76449992010447,65.56102983141786,6.655614100502169,Sandy,Potassium Fertilizer,Potash,Rice
99,55,27,27.759240867617066,55.38094046036631,7.23220309075567,Sandy,Complete Fertilizer,Potash,Wheat
89,43,44,23.418341824237874,79.12029636229232,6.078879043238976,Loamy,Complete Fertilizer,Superphosphate,Barley
53,35,36,22.850863670615496,53.399105141823924,6.435362424969754,Sandy,Potassium Fertilizer,Ammonium Nitrate,Soybean
51,34,48,16.721533078038263,62.10803007084774,6.738779938733003,Loamy,Nitrogen Fertilizer,Potash,Barley
55,59,27,27.902095400241524,72.13654954503818,6.322380951738982,Loamy,Potassium Fertilizer,Urea,Wheat
91,40,34,25.842214548127256,71.13663284082335,6.354972908180536,Loamy,Nitrogen Fertilizer,Urea,Wheat
53,33,46,16.015025428500024,62.68185910681797,6.160569335004169,Sandy,Phosphorus Fertilizer,Ammonium Nitrate,Wheat
78,42,26,25.61752645844653,60.395725038581546,6.628463633369072,Loamy,Potassium Fertilizer,Calcium Nitrate,Wheat
67,40,22,23.153073260139692,61.92837135658612,7.201149056030232,Loamy,Nitrogen Fertilizer,Superphosphate,Rice
75,32,48,16.225880186201675,57.92828789475918,5.903056756012626,Clayey,Phosphorus Fertilizer,Urea,Barley
93,30,43,21.874509622929846,56.159988161204,7.368866077506883,Loamy,Potassium Fertilizer,Urea,Corn
83,35,22,22.270444306950704,64.4911909267667,6.878175307496459,Loamy,Complete Fertilizer,Ammonium Nitrate,Soybean
59,47,39,17.486618102449135,58.05601268202822,7.146546425360061,Clayey,Potassium Fertilizer,Calcium Nitrate,Wheat
85,53,34,29.185472205004235,58.6238499469175,6.612381385260023,Clayey,Organic Compost,Calcium Nitrate,Barley
63,39,44,27.74963057220993,69.70268190423671,7.059033402848127,Sandy,Potassium Fertilizer,Ammonium Nitrate,Wheat
80,34,49,25.035335059936624,79.05611995099676,5.532400794678934,Loamy,Organic Compost,Urea,Wheat
97,52,33,21.93443341500911,68.10911601678126,7.136760849559071,Sandy,Phosphorus Fertilizer,Superphosphate,Wheat
64,39,26,21.17648312376763,52.309384011948985,5.580277718170733,Sandy,Potassium Fertilizer,Urea,Wheat
57,41,36,24.764602007264312,52.26750841562201,7.279826752725725,Clayey,Phosphorus Fertilizer,Calcium Nitrate,Wheat
63,31,39,23.18147804110358,78.54269662536697,7.483925494477287,Sandy,Phosphorus Fertilizer,Urea,Soybean
72,42,55,15.934096588228284,58.91872370922001,6.088134924353556,Loamy,Nitrogen Fertilizer,Superphosphate,Barley
89,37,28,22.687539731554978,52.76200958247426,5.920637112571587,Clayey,Phosphorus Fertilizer,Potash,Wheat
70,31,57,27.096054258492593,67.97133761451144,7.030726727716082,Loamy,Phosphorus Fertilizer,Urea,Wheat
65,49,41,21.88859816395437,68.70946334870798,6.006052681840506,Loamy,Potassium Fertilizer,Ammonium Nitrate,Wheat
94,30,21,15.779348663314027,69.45514460356064,7.231124766344407,Clayey,Potassium Fertilizer,Potash,Wheat
67,34,43,26.794172990760497,58.022060835726236,5.705685184314953,Loamy,Complete Fertilizer,Ammonium Nitrate,Rice
96,38,27,18.020456732039616,50.453320526434254,5.751910392758717,Clayey,Nitrogen Fertilizer,Ammonium Nitrate,Rice
73,46,30,18.879312523320582,78.95046108363415,7.458303110201231,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Corn
75,38,32,17.470595301484437,57.52679137073307,6.847677796540009,Clayey,Nitrogen Fertilizer,Urea,Wheat
74,40,36,19.953225973072463,70.28078864157642,7.193774448857906,Sandy,Organic Compost,Calcium Nitrate,Corn
94,44,27,26.351272585329525,71.1988960963613,6.148658754703036,Loamy,Phosphorus Fertilizer,Potash,Soybean
90,53,40,22.79078789255906,68.30022251238458,6.852967499041209,Clayey,Nitrogen Fertilizer,Superphosphate,Corn
78,35,37,18.073219112260688,59.387221826409444,6.688483654617194,Loamy,Complete Fertilizer,Calcium Nitrate,Barley
64,52,49,28.167451172280614,58.13288761292198,6.706300240245894,Loamy,Complete Fertilizer,Urea,Rice
94,32,37,28.193727824272937,67.93004848108109,6.865064919075444,Loamy,Phosphorus Fertilizer,Ammonium Nitrate,Rice
50,59,50,28.058676375690105,75.98286900835075,6.650718346258197,Clayey,Organic Compost,Superphosphate,Wheat
74,46,57,18.58194317072309,78.40201186770187,6.358124738605332,Sandy,Complete Fertilizer,Potash,Wheat
56,34,51,21.768590162714823,53.177174132112725,6.051845388761094,Sandy,Complete Fertilizer,Calcium Nitrate,Soybean
58,59,30,29.774844842113126,54.6448583779316,7.037162661826404,Sandy,Organic Compost,Calcium Nitrate,Soybean
73,57,44,26.580187144649855,78.34208776349239,5.952544860006372,Clayey,Nitrogen Fertilizer,Superphosphate,Barley
50,41,52,15.407511318383397,72.09605685004378,6.884708612308828,Sandy,Complete Fertilizer,Urea,Wheat
93,47,57,15.97806886890738,76.4898147448932,5.9666656452986535,Clayey,Potassium Fertilizer,Potash,Wheat
